Name,gp,cmp,att,yards,yac,td,rtd
Joe Burrow,16,423,606,4641,2071,42,11
Baker Mayfield,16,387,532,4284,2407,39,15
Sam Darnold,16,343,504,4154,1674,35,9
Geno Smith,16,387,551,4097,2035,17,17
Jared Goff,15,337,472,4095,2330,33,24
Lamar Jackson,16,300,442,3955,1940,39,19
Patrick Mahomes,16,394,555,3948,2314,26,15
Mathew Stafford,16,340,517,3762,1726,20,15
Josh Allen,16,307,483,3731,2042,28,31
CJ Stroud,16,330,526,3677,1656,19,14
Aaron Rodger,16,345,548,3623,1980,24,8
Kyler Murray,16,347,506,3609,1851,17,16
Jayden Daniels,16,325,468,3530,1697,25,24
Justin Herbert,16,304,468,3524,1546,21,16
Kirk Cousins,14,303,453,3508,1670,18, 15
Brock Purdy,14,273,420,3487,1510,17,14
Bo Nix,16,350,538,3454,1887,25,11
Caleb Williams,16,330,533,3393,1767,19,12
Jordan Love,14,261,413,3320,1668,25,21
Jalen Hurts,15,248,361,2903,1302,18,29



